id,disc,sector,symbol,token,cap,ltp
297,Aether Industries Ltd.,Chemicals,AETHER-EQ,9810,11661,1.1
298,DCM Shriram Ltd.,Diversified,DCMSHRIRAM-EQ,811,11655,1.1
299,Indian Energy Exchange Ltd.,Financial Services,IEX-EQ,220,11409,1.1
300,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS-EQ,48,11276,1.1
301,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS-EQ,4847,11215,1.1
302,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE-EQ,4487,11014,1.1
303,Cyient Ltd.,Information Technology,CYIENT-EQ,5748,11004,1.1
304,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT-EQ,637,10992,1.1
305,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA-EQ,5378,10991,1.1
306,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND-EQ,1250,10974,1.1
307,Brigade Enterprises Ltd.,Realty,BRIGADE-EQ,15184,10952,1.1
308,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL-EQ,2955,10851,1.1
309,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML-EQ,8954,10840,1.1
310,V-Guard Industries Ltd.,Consumer Durables,VGUARD-EQ,15362,10804,1.1
311,NLC India Ltd.,Power,NLCINDIA-EQ,8585,10697,1.1
312,Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH-EQ,1979,10664,1.1
