id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
255,444.5,445.2,444.4,444.65,1702,0,0.0,None,0.0,0.0,-83.31551002795445
256,444.5,445.2,444.4,444.65,1702,0,0.0,None,0.0,0.0,-66.77128871950082
257,2351.8,2353.5,2351.8,2353.5,18,0,0.0,None,0.0,2342.5833333333335,-6.14718959982454
258,444.5,445.2,444.4,444.65,1702,0,0.0,None,0.0,444.1166666666667,-1.188888888888894
259,33.95,34.0,33.9,33.95,69765,0,0.0,None,0.0,33.58333333333333,-3.9603960396039564
260,250.0,250.2,250.0,250.05,829,0,0.0,None,0.0,257.2166666666667,-5.8014692032397726
261,33.95,34.0,33.9,33.95,69765,0,0.0,None,0.0,0.0,-88.10858143607706
262,33.95,34.0,33.9,33.95,69765,0,0.0,None,0.0,0.0,-99.49328358208956
263,33.95,34.0,33.9,33.95,69765,0,0.0,None,0.0,0.0,-96.37673425827107
264,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
265,755.05,755.05,754.15,755.0,94,0,0.0,None,0.0,176.4666666666667,352.7736131934033
266,1548.7,1548.7,1547.25,1547.95,450,0,0.0,None,0.0,1451.9333333333334,11.82589850099332
267,34.35,34.35,34.3,34.35,17473,0,0.0,None,0.0,34.25,-1.4347202295552368
268,755.05,755.05,754.15,755.0,94,0,0.0,None,0.0,0.0,-83.70175287108195
269,755.05,755.05,754.15,755.0,94,0,0.0,None,0.0,755.9166666666669,-2.637178412534663
270,755.05,755.05,754.15,755.0,94,0,0.0,None,0.0,0.0,-72.1515252111689
271,494.7,495.5,494.1,495.5,2636,0,0.0,None,0.0,496.0,-2.9478013906571365
272,641.7,642.2,640.95,642.2,194,0,0.0,None,0.0,645.1999999999999,1.7104846373139164
273,1973.05,1974.0,1969.15,1969.2,4883,0,0.0,None,0.0,786.4833333333331,162.66506602641056
274,494.7,495.5,494.1,495.5,2636,0,0.0,None,0.0,635.7166666666665,-25.314643153214263
275,1973.05,1974.0,1969.15,1969.2,4883,0,0.0,None,0.0,1415.016666666666,43.580021873860744
276,1973.05,1974.0,1969.15,1969.2,4883,0,0.0,None,0.0,2057.7333333333336,-7.538443479281604
277,294.85,294.85,293.85,293.85,1605,0,0.0,None,0.0,303.58333333333337,-7.579808145934885
278,670.5,672.0,670.25,670.85,3640,0,0.0,None,0.0,672.8499999999999,-7.805950663093514
279,870.5,870.5,870.0,870.0,71,0,0.0,None,0.0,891.7000000000003,-7.863383637807784
280,7390.0,7390.0,7390.0,7390.0,1,0,0.0,None,0.0,7393.733333333334,-0.8519487489099081
281,1036.85,1037.85,1036.85,1037.5,73,0,0.0,None,0.0,0.0,-78.41329948816113
282,1036.85,1037.85,1036.85,1037.5,73,0,0.0,None,0.0,1039.0999999999995,-3.1460044809559413
283,116.1,116.25,116.0,116.25,142509,0,0.0,None,0.0,0.0,-85.3432515917544
284,116.1,116.25,116.0,116.25,142509,0,0.0,None,0.0,0.0,-68.20295404814004
