id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
167,PB Fintech Ltd.,Financial Services,POLICYBZR-EQ,6656,28757,744.1,770.15,743.0,760.0,693.2666666666669,705.7000000000003,718.1333333333334,730.5666666666667,745.2833333333334,757.7166666666667,772.4333333333334,784.8666666666667,799.5833333333334,814.3000000000002,829.0166666666669
169,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN-EQ,13285,28621,298.5,302.25,290.5,291.9,261.0333333333333,268.4,275.76666666666665,283.1333333333333,287.51666666666665,294.8833333333333,299.26666666666665,306.6333333333333,311.01666666666665,315.4,319.7833333333333
172,Federal Bank Ltd.,Financial Services,FEDERALBNK-EQ,1023,28010,150.9,151.4,145.25,146.0,129.8499999999999,133.69999999999993,137.54999999999995,141.39999999999998,143.69999999999996,147.54999999999998,149.84999999999997,153.7,155.99999999999997,158.29999999999995,160.5999999999999
181,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN-EQ,3339,25548,3183.05,3183.05,3035.6,3061.5,2676.9333333333325,2766.5999999999985,2856.266666666666,2945.933333333333,3003.7166666666662,3093.383333333333,3151.1666666666665,3240.8333333333335,3298.616666666667,3356.4000000000005,3414.1833333333343
194,CRISIL Ltd.,Financial Services,CRISIL-EQ,757,23520,3860.0,3919.0,3837.9,3895.7,3698.699999999997,3733.499999999998,3768.299999999999,3803.0999999999995,3849.3999999999987,3884.1999999999994,3930.4999999999986,3965.2999999999993,4011.5999999999985,4057.899999999998,4104.199999999997
195,General Insurance Corporation of India,Financial Services,GICRE-EQ,277,23447,224.95,228.95,222.75,223.35,207.01666666666665,210.95000000000005,214.88333333333333,218.81666666666666,221.08333333333331,225.01666666666665,227.2833333333333,231.21666666666664,233.4833333333333,235.74999999999994,238.01666666666665
199,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA-EQ,11403,22462,380.05,381.05,374.5,375.35,358.16666666666674,362.25,366.33333333333337,370.4166666666667,372.8833333333334,376.9666666666667,379.4333333333334,383.5166666666667,385.9833333333334,388.45000000000005,390.91666666666674
201,Max Financial Services Ltd.,Financial Services,MFSL-EQ,2142,21914,923.8,927.5,900.0,906.25,835.0,851.25,867.5,883.75,895.0,911.25,922.5,938.75,950.0,961.25,972.5
209,Central Bank of India,Financial Services,CENTRALBK-EQ,14894,20921,50.6,54.0,49.7,50.3,39.03333333333333,41.7,44.366666666666674,47.03333333333334,48.66666666666667,51.333333333333336,52.96666666666667,55.63333333333333,57.266666666666666,58.89999999999998,60.53333333333333
218,L&T Finance Holdings Ltd.,Financial Services,L&TFH-EQ,24948,20345,126.5,129.2,126.2,126.65,118.79999999999995,120.64999999999998,122.49999999999997,124.35,125.49999999999997,127.34999999999998,128.49999999999994,130.34999999999997,131.49999999999994,132.64999999999992,133.7999999999999
228,IIFL Finance Ltd.,Financial Services,IIFL-EQ,11809,18559,588.5,604.9,586.65,593.9,547.6500000000001,557.4000000000001,567.15,576.9,585.4,595.15,603.65,613.4,621.9,630.4000000000001,638.9000000000001
231,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN-EQ,1997,18083,467.05,469.8,456.75,458.35,424.0833333333335,432.25,440.41666666666674,448.58333333333337,453.46666666666675,461.6333333333334,466.51666666666677,474.6833333333334,479.5666666666668,484.45000000000005,489.3333333333335
241,Bank of Maharashtra,Financial Services,MAHABANK-EQ,11377,16657,47.4,49.4,46.6,47.0,39.66666666666666,41.400000000000006,43.13333333333333,44.86666666666667,45.93333333333333,47.666666666666664,48.73333333333333,50.46666666666666,51.533333333333324,52.599999999999994,53.66666666666666
243,Piramal Enterprises Ltd.,Financial Services,PEL-EQ,2412,16189,1049.9,1049.95,1011.75,1015.25,914.5499999999993,938.8499999999995,963.1499999999996,987.4499999999998,1001.3499999999997,1025.6499999999999,1039.5499999999997,1063.85,1077.7499999999998,1091.6499999999999,1105.5499999999993
245,The New India Assurance Company Ltd.,Financial Services,NIACL-EQ,399,16035,139.1,143.45,136.25,140.6,122.85000000000002,126.19999999999999,129.55,132.9,136.75,140.1,143.95,147.29999999999998,151.14999999999998,154.99999999999994,158.84999999999997
