id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5,ltp
70,Bharat Electronics Ltd.,Capital Goods,BEL-EQ,383,71306.0,136.9,138.0,134.6,135.05,126.13333333333344,128.2500000000001,130.3666666666667,132.48333333333335,133.7666666666667,135.88333333333335,137.1666666666667,139.28333333333336,140.56666666666672,141.85000000000014,143.13333333333344,0.0
71,Mankind Pharma Ltd.,Healthcare,MANKIND-EQ,15380,70153.0,1750.0,1767.3,1745.05,1764.45,1711.583333333334,1719.9500000000007,1728.3166666666668,1736.6833333333334,1750.5666666666668,1758.9333333333334,1772.8166666666668,1781.1833333333334,1795.0666666666668,1808.9500000000007,1822.833333333334,0.0
72,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD-EQ,17971,70028.0,793.05,795.35,780.1,782.3,742.3666666666663,751.7999999999997,761.2333333333332,770.6666666666666,776.4833333333332,785.9166666666666,791.7333333333332,801.1666666666666,806.9833333333332,812.7999999999997,818.6166666666663,0.0
73,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL-EQ,4717,69137.0,121.95,122.7,121.0,121.45,117.0666666666666,118.04999999999995,119.0333333333333,120.01666666666665,120.7333333333333,121.71666666666665,122.43333333333331,123.41666666666666,124.13333333333331,124.84999999999997,125.5666666666666,0.0
74,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG-EQ,305,65886.0,7276.0,7339.95,7020.0,7058.65,6218.333333333332,6418.75,6619.166666666666,6819.583333333333,6939.116666666666,7139.533333333333,7259.066666666666,7459.483333333333,7579.0166666666655,7698.549999999999,7818.083333333332,0.0
75,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM-EQ,3432,65852.0,894.8,896.0,870.1,876.5,809.5666666666666,824.6999999999998,839.8333333333334,854.9666666666667,865.7333333333333,880.8666666666667,891.6333333333333,906.7666666666667,917.5333333333333,928.2999999999997,939.0666666666666,0.0
76,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI-EQ,18652,62678.0,579.75,581.5,563.3,566.1,518.5000000000002,529.7,540.9000000000001,552.1,559.1000000000001,570.3000000000001,577.3000000000002,588.5000000000001,595.5000000000002,602.5000000000002,609.5000000000005,0.0
77,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN-EQ,685,62581.0,1201.0,1249.45,1200.0,1219.8,1094.5333333333328,1120.8999999999996,1147.2666666666664,1173.6333333333332,1196.7166666666665,1223.0833333333333,1246.1666666666665,1272.5333333333333,1295.6166666666666,1318.6999999999998,1341.7833333333328,0.0
78,Marico Ltd.,Fast Moving Consumer Goods,MARICO-EQ,4067,62040.0,584.4,586.75,558.25,559.8,484.3166666666666,502.79999999999995,521.2833333333333,539.7666666666667,549.7833333333333,568.2666666666667,578.2833333333333,596.7666666666667,606.7833333333333,616.8,626.8166666666666,0.0
79,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP-EQ,157,61984.0,5105.35,5145.5,4995.0,5020.1,4627.133333333335,4719.100000000002,4811.0666666666675,4903.033333333334,4961.5666666666675,5053.533333333334,5112.0666666666675,5204.033333333334,5262.5666666666675,5321.100000000002,5379.633333333335,0.0
80,Tata Power Co. Ltd.,Power,TATAPOWER-EQ,3426,60791.0,262.0,264.25,257.3,258.05,239.76666666666642,244.14999999999986,248.53333333333325,252.91666666666663,255.48333333333323,259.8666666666666,262.4333333333332,266.8166666666666,269.3833333333332,271.9499999999998,274.5166666666664,0.0
81,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD-EQ,2181,57128.0,19199.95,19700.0,18840.0,19319.75,17186.33333333333,17599.75,18013.166666666664,18426.583333333332,18873.166666666664,19286.583333333332,19733.166666666664,20146.583333333332,20593.166666666664,21039.75,21486.33333333333,0.0
82,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT-EQ,404,56507.0,600.0,603.15,566.25,569.55,472.25,495.75,519.25,542.75,556.15,579.65,593.05,616.55,629.9499999999999,643.3499999999999,656.75,0.0
83,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL-EQ,6733,55717.0,690.75,697.0,680.0,681.85,637.1333333333332,647.8499999999999,658.5666666666666,669.2833333333333,675.5666666666666,686.2833333333333,692.5666666666666,703.2833333333333,709.5666666666666,715.8499999999999,722.1333333333332,0.0
84,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N-EQ,10447,55009.0,1011.2,1018.9,998.75,1002.05,949.4166666666665,961.75,974.0833333333333,986.4166666666666,994.2333333333332,1006.5666666666666,1014.3833333333332,1026.7166666666667,1034.5333333333333,1042.35,1050.1666666666665,0.0
85,UPL Ltd.,Chemicals,UPL-EQ,11287,53867.0,615.1,618.9,602.55,605.0,562.2166666666665,572.3,582.3833333333332,592.4666666666666,598.7333333333332,608.8166666666666,615.0833333333333,625.1666666666666,631.4333333333333,637.6999999999998,643.9666666666667,0.0
86,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL-EQ,8110,52747.0,342.0,344.15,338.0,338.8,322.66666666666674,326.5000000000002,330.33333333333337,334.1666666666667,336.48333333333335,340.31666666666666,342.6333333333333,346.46666666666664,348.7833333333333,351.1,353.41666666666663,0.0
87,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI-EQ,21770,52525.0,1280.0,1290.75,1266.0,1274.25,1211.0,1224.75,1238.5,1252.25,1263.25,1277.0,1288.0,1301.75,1312.75,1323.75,1334.75,0.0
88,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM-EQ,3518,52024.0,1849.7,1879.0,1848.4,1863.6,1787.0666666666666,1802.4,1817.7333333333336,1833.0666666666668,1848.3333333333335,1863.6666666666667,1878.9333333333334,1894.2666666666667,1909.5333333333333,1924.7999999999993,1940.0666666666666,0.0
89,Canara Bank,Financial Services,CANBK-EQ,10794,51602.0,375.95,383.35,373.35,374.55,348.2833333333331,354.54999999999984,360.8166666666666,367.0833333333333,370.8166666666666,377.0833333333333,380.8166666666666,387.0833333333333,390.8166666666666,394.54999999999984,398.2833333333331,0.0
90,Punjab National Bank,Financial Services,PNB-EQ,10666,51311.0,81.65,82.65,79.2,79.65,70.60000000000002,72.75000000000006,74.90000000000002,77.05000000000001,78.35000000000002,80.50000000000001,81.80000000000003,83.95000000000002,85.25000000000003,86.55000000000004,87.85000000000005,0.0
