id,desc,symbol,sector,token,ltp,sr1,sr2,sr3,sr4,sr5,sr6,sr7
85,Hindustan Zinc Ltd.,HINDZINC-EQ,,1424,321.5,316.33,318.17,319.18,321.02,322.03,323.87,324.88
86,Honeywell Automation India Ltd.,HONAUT-EQ,,3417,40010.2,38236.6,38518.3,38771.5,39053.2,39306.4,39588.1,39841.3
87,ICICI Bank Ltd.,ICICIBANK-EQ,,4963,992.45,949.12,955.18,962.87,968.93,976.62,982.68,990.37
88,ICICI Lombard General Insurance Company Ltd.,ICICIGI-EQ,,21770,1377.85,1323.07,1333.23,1341.12,1351.28,1359.17,1369.33,1377.22
89,ICICI Prudential Life Insurance Company,ICICIPRULI-EQ,,18652,595.0,523.58,534.67,545.68,556.77,567.78,578.87,589.88
90,IDFC First Bank Ltd.,IDFCFIRSTB-EQ,,11184,94.55,91.92,93.28,94.32,95.68,96.72,98.08,99.12
91,ITC Ltd.,ITC-EQ,,1660,448.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Indian Bank,INDIANB-EQ,,14309,397.7,378.1,382.55,385.85,390.3,393.6,398.05,401.35
93,Indian Hotels Co. Ltd.,INDHOTEL-EQ,,1512,416.65,423.17,425.58,427.57,429.98,431.97,434.38,436.37
94,Indian Oil Corporation Ltd.,IOC-EQ,,1624,91.95,88.65,90.1,92.05,93.5,95.45,96.9,98.85
95,Indian Railway Catering & Tourism Corp Ltd.,IRCTC-EQ,,13611,695.65,651.87,679.58,702.57,730.28,753.27,780.98,803.97
96,Indian Railway Finance Corporation Ltd.,IRFC-EQ,,2029,79.35,71.88,73.27,75.18,76.57,78.48,79.87,81.78
97,Indraprastha Gas Ltd.,IGL-EQ,,11262,473.4,466.27,471.28,476.52,481.53,486.77,491.78,497.02
98,Indus Towers Ltd.,INDUSTOWER-EQ,,29135,188.25,178.0,181.4,184.7,188.1,191.4,194.8,198.1
99,IndusInd Bank Ltd.,INDUSINDBK-EQ,,5258,1450.0,1409.47,1421.78,1435.32,1447.63,1461.17,1473.48,1487.02
100,Info Edge (India) Ltd.,NAUKRI-EQ,,13751,4484.6,4382.12,4406.08,4441.92,4465.88,4501.72,4525.68,4561.52
101,Infosys Ltd.,INFY-EQ,,1594,1511.6,1447.07,1453.63,1461.62,1468.18,1476.17,1482.73,1490.72
102,Interglobe Aviation,INDIGO-EQ,,11195,2391.45,2386.17,2417.83,2445.67,2477.33,2505.17,2536.83,2564.67
103,Ipca Laboratories Ltd.,IPCALAB-EQ,,1633,930.75,875.53,882.42,892.63,899.52,909.73,916.62,926.83
104,JSW Energy Ltd.,JSWENERGY-EQ,,17869,398.85,365.13,372.12,383.33,390.32,401.53,408.52,419.73
105,JSW Steel Ltd.,JSWSTEEL-EQ,,11723,812.85,796.17,803.38,809.57,816.78,822.97,830.18,836.37
106,Jindal Steel & Power Ltd.,JINDALSTEL-EQ,,6733,711.45,681.9,688.7,693.5,700.3,705.1,711.9,716.7
107,Jio Financial Services Ltd.,WEALTH-EQ,,1923,314.55,244.63,247.07,250.13,252.57,255.63,258.07,261.13
108,Jubliant Foodworks Limited,JUBLFOOD-EQ,,18096,533.4,519.47,523.23,527.97,531.73,536.47,540.23,544.97
109,Kotak Mahindra Bank Ltd.,KOTAKBANK-EQ,,1922,1813.9,1758.05,1769.8,1781.5,1793.25,1804.95,1816.7,1828.4
110,L&T Finance Holdings Ltd.,L&TFH-EQ,,24948,128.7,127.37,128.18,128.77,129.58,130.17,130.98,131.57
111,L&T Technology Services,LTTS-EQ,,18564,4723.95,4555.8,4589.4,4621.8,4655.4,4687.8,4721.4,4753.8
112,LIC Housing Finance Ltd.,LICHSGFIN-EQ,,1997,458.75,442.97,446.58,449.77,453.38,456.57,460.18,463.37
113,LTIMindtree Ltd.,LTIM-EQ,,17818,5532.8,5401.0,5425.5,5452.0,5476.5,5503.0,5527.5,5554.0
114,Larsen & Toubro Ltd.,LT-EQ,,11483,2908.55,2816.88,2844.67,2873.13,2900.92,2929.38,2957.17,2985.63
115,Laurus Labs Ltd.,LAURUSLABS-EQ,,19234,400.95,393.42,397.28,403.77,407.63,414.12,417.98,424.47
116,Life Insurance Corporation of India,LICI-EQ,,9480,667.5,658.37,665.78,669.97,677.38,681.57,688.98,693.17
117,Lupin Ltd.,LUPIN-EQ,,10440,1150.7,1092.22,1105.43,1117.02,1130.23,1141.82,1155.03,1166.62
118,MRF Ltd.,MRF-EQ,,2277,109233.85,107677.0,108138.0,108498.0,108959.0,109319.0,109780.0,110140.0
119,Mahindra & Mahindra Financial Services Ltd.,M&MFIN-EQ,,13285,300.95,291.75,296.05,298.85,303.15,305.95,310.25,313.05
120,Mahindra & Mahindra Ltd.,M&M-EQ,,2031,1601.1,1541.03,1550.52,1559.03,1568.52,1577.03,1586.52,1595.03
121,Mankind Pharma Ltd.,MANKIND-EQ,,15380,1765.65,1707.43,1730.22,1743.38,1766.17,1779.33,1802.12,1815.28
122,Marico Ltd.,MARICO-EQ,,4067,580.15,577.02,579.88,583.27,586.13,589.52,592.38,595.77
123,Maruti Suzuki India Ltd.,MARUTI-EQ,,10999,10525.25,10188.0,10244.0,10288.0,10344.0,10388.0,10444.0,10488.0
124,Max Financial Services Ltd.,MFSL-EQ,,2142,935.25,902.15,914.9,925.2,937.95,948.25,961.0,971.3
125,Max Healthcare Institute Ltd.,MAXHEALTH-EQ,,22377,572.45,578.77,585.93,594.47,601.63,610.17,617.33,625.87
126,Motherson Sumi Wiring India Ltd.,MSUMI-EQ,,8596,65.7,64.8,65.3,66.0,66.5,67.2,67.7,68.4
127,MphasiS Ltd.,MPHASIS-EQ,,4503,2493.15,2402.1,2422.45,2444.3,2464.65,2486.5,2506.85,2528.7
128,Muthoot Finance,MUTHOOTFIN-EQ,,23650,1325.55,1262.68,1269.77,1276.98,1284.07,1291.28,1298.37,1305.58
129,NHPC LIMITED,NHPC-EQ,,17400,54.8,49.87,51.03,51.92,53.08,53.97,55.13,56.02
130,NMDC Ltd.,NMDC-EQ,,15332,149.9,137.05,139.4,140.9,143.25,144.75,147.1,148.6
131,NTPC Ltd.,NTPC-EQ,,11630,236.2,227.03,231.02,235.63,239.62,244.23,248.22,252.83
132,Navin Fluorine International Ltd.,NAVINFLUOR-EQ,,14672,4543.55,4559.3,4604.65,4633.55,4678.9,4707.8,4753.15,4782.05
133,Nestle India Ltd.,NESTLEIND-EQ,,17963,22622.3,21666.4,21748.2,21815.7,21897.5,21965.0,22046.8,22114.3
134,Oberoi Realty Ltd.,OBEROIRLTY-EQ,,20242,1173.9,1127.07,1140.73,1160.17,1173.83,1193.27,1206.93,1226.37
135,Oil & Natural Gas Corporation Ltd.,ONGC-EQ,,2475,186.65,179.7,180.85,182.65,183.8,185.6,186.75,188.55
136,Oil India Ltd.,OIL-EQ,,17438,284.4,276.37,278.58,279.97,282.18,283.57,285.78,287.17
137,One 97 Communications Ltd.,PAYTM-EQ,,6705,885.15,849.93,866.67,886.03,902.77,922.13,938.87,958.23
138,Oracle Financial Services Software Ltd.,OFSS-EQ,,10738,4298.95,4171.27,4212.88,4280.32,4321.93,4389.37,4430.98,4498.42
139,PB Fintech Ltd.,POLICYBZR-EQ,,6656,772.3,750.75,763.15,781.2,793.6,811.65,824.05,842.1
140,PI Industries Limited,PIIND-EQ,,24184,3631.65,3588.95,3611.0,3633.25,3655.3,3677.55,3699.6,3721.85
141,Page Industries,PAGEIND-EQ,,14413,40605.15,40369.33,41077.87,41467.93,42176.47,42566.53,43275.07,43665.13
142,Patanjali Foods Ltd.,PATANJALI-EQ,,17030,1308.45,1235.73,1250.37,1270.73,1285.37,1305.73,1320.37,1340.73
143,Persistent Systems Ltd.,PERSISTENT-EQ,,18365,5965.65,5735.1,5793.05,5882.05,5940.0,6029.0,6086.95,6175.95
144,Petronet LNG Ltd.,PETRONET-EQ,,11351,241.0,238.12,242.03,246.12,250.03,254.12,258.03,262.12
145,Pidilite Industries Ltd.,PIDILITIND-EQ,,2664,2481.5,2465.6,2478.65,2491.85,2504.9,2518.1,2531.15,2544.35
146,Piramal Enterprises,PEL-EQ,,2412,1070.8,1055.13,1064.22,1076.83,1085.92,1098.53,1107.62,1120.23
147,Polycab India Ltd.,POLYCAB-EQ,,9590,5166.8,5128.6,5146.8,5173.05,5191.25,5217.5,5235.7,5261.95
148,Poonawalla Fincorp Ltd.,POONAWALLA-EQ,,11403,388.95,380.17,384.38,387.17,391.38,394.17,398.38,401.17
149,Power Finance Corporation Ltd.,PFC-EQ,,14299,279.4,245.87,258.43,281.77,294.33,317.67,330.23,353.57
150,Power Grid Corporation of India Ltd.,POWERGRID-EQ,,14977,194.1,252.53,254.82,256.73,259.02,260.93,263.22,265.13
151,Prestige Estates Projects Ltd.,PRESTIGE-EQ,,20302,619.9,609.62,620.53,634.17,645.08,658.72,669.63,683.27
152,Procter & Gamble Hygiene & Health Care Ltd.,PGHH-EQ,,2535,17452.15,16195.43,16458.77,16798.33,17061.67,17401.23,17664.57,18004.13
153,Punjab National Bank,PNB-EQ,,10666,74.15,65.25,65.75,66.3,66.8,67.35,67.85,68.4
154,REC Ltd.,RECLTD-EQ,,15355,244.9,223.7,234.05,252.1,262.45,280.5,290.85,308.9
155,Reliance Industries Ltd.,RELIANCE-EQ,,2885,2457.85,2395.72,2409.33,2428.77,2442.38,2461.82,2475.43,2494.87
156,SBI Cards & Payment Services Ltd.,SBICARD-EQ,,17971,839.0,821.43,827.97,833.93,840.47,846.43,852.97,858.93
157,SBI Life Insurance Company Ltd.,SBILIFE-EQ,,21808,1372.65,1318.95,1326.65,1334.05,1341.75,1349.15,1356.85,1364.25
158,SRF Ltd.,SRF-EQ,,3273,2370.5,2389.53,2413.77,2427.03,2451.27,2464.53,2488.77,2502.03
159,Samvardhana Motherson International Ltd.,MOTHERSON-EQ,,4204,98.45,98.13,98.72,99.13,99.72,100.13,100.72,101.13
160,Shree Cement Ltd.,SHREECEM-EQ,,3103,26794.25,25333.13,25491.57,25732.33,25890.77,26131.53,26289.97,26530.73
161,Shriram Finance Ltd.,SHRIRAMFIN-EQ,,4306,1922.25,1860.63,1881.72,1917.78,1938.87,1974.93,1996.02,2032.08
162,Siemens Ltd.,SIEMENS-EQ,,3150,3810.85,3878.62,3903.33,3924.47,3949.18,3970.32,3995.03,4016.17
163,Sona BLW Precision Forgings Ltd.,SONACOMS-EQ,,4684,599.25,572.52,576.83,584.37,588.68,596.22,600.53,608.07
164,State Bank of India,SBIN-EQ,,3045,598.8,570.47,575.08,579.27,583.88,588.07,592.68,596.87
165,Steel Authority of India Ltd.,SAIL-EQ,,2963,96.35,95.4,96.7,97.8,99.1,100.2,101.5,102.6
166,Sun Pharmaceutical Industries Ltd.,SUNPHARMA-EQ,,3351,1149.8,1117.07,1122.78,1126.62,1132.33,1136.17,1141.88,1145.72
167,Sun TV Network Ltd.,SUNTV-EQ,,13404,596.2,604.32,610.18,615.07,620.93,625.82,631.68,636.57
168,Syngene International Ltd.,SYNGENE-EQ,,10243,834.5,820.0,828.5,834.0,842.5,848.0,856.5,862.0
169,TVS Motor Company Ltd.,TVSMOTOR-EQ,,8479,1502.9,1461.4,1467.75,1474.15,1480.5,1486.9,1493.25,1499.65
170,Tata Chemicals Ltd.,TATACHEM-EQ,,3405,1070.45,1067.13,1074.37,1079.83,1087.07,1092.53,1099.77,1105.23
171,Tata Communications Ltd.,TATACOMM-EQ,,3721,1927.7,1836.95,1854.25,1869.75,1887.05,1902.55,1919.85,1935.35
172,Tata Consultancy Services Ltd.,TCS-EQ,,11536,3598.3,3399.68,3417.37,3429.63,3447.32,3459.58,3477.27,3489.53
173,Tata Consumer Products Ltd.,TATACONSUM-EQ,,3432,875.9,835.18,843.47,848.28,856.57,861.38,869.67,874.48
174,Tata Elxsi Ltd.,TATAELXSI-EQ,,3411,7234.65,7243.87,7299.43,7332.82,7388.38,7421.77,7477.33,7510.72
175,Tata Motors Ltd.,TATAMOTORS-EQ,,3456,634.25,603.3,608.75,618.0,623.45,632.7,638.15,647.4
176,Tata Power Co. Ltd.,TATAPOWER-EQ,,3426,263.95,250.07,256.88,262.87,269.68,275.67,282.48,288.47
177,Tata Steel Ltd.,TATASTEEL-EQ,,3499,131.95,126.13,127.67,128.58,130.12,131.03,132.57,133.48
178,Tata Teleservices (Maharashtra) Ltd.,TTML-EQ,,8954,107.9,92.48,93.67,94.53,95.72,96.58,97.77,98.63
179,Tech Mahindra Ltd.,TECHM-EQ,,13538,1300.05,1236.38,1247.72,1255.33,1266.67,1274.28,1285.62,1293.23
180,The Ramco Cements Ltd.,RAMCOCEM-EQ,,2043,894.85,876.33,882.97,892.73,899.37,909.13,915.77,925.53
181,Titan Company Ltd.,TITAN-EQ,,3506,3248.6,3147.4,3160.1,3179.6,3192.3,3211.8,3224.5,3244.0
182,Torrent Pharmaceuticals Ltd.,TORNTPHARM-EQ,,3518,1872.0,1818.63,1840.32,1856.53,1878.22,1894.43,1916.12,1932.33
183,Torrent Power Ltd.,TORNTPOWER-EQ,,13786,724.15,705.85,712.55,719.0,725.7,732.15,738.85,745.3
184,Trent Ltd.,TRENT-EQ,,1964,2070.25,1994.47,2030.88,2058.72,2095.13,2122.97,2159.38,2187.22
185,TRIDENT Ltd.,TRIDENT-EQ,,9685,39.0,38.85,39.65,40.1,40.9,41.35,42.15,42.6
186,Tube Investments of India Ltd.,TIINDIA-EQ,,312,3319.1,3132.0,3181.0,3247.0,3296.0,3362.0,3411.0,3477.0
187,UPL Ltd.,UPL-EQ,,11287,634.65,594.67,600.33,603.57,609.23,612.47,618.13,621.37
188,UltraTech Cement Ltd.,ULTRACEMCO-EQ,,11532,8728.35,8220.37,8310.18,8370.37,8460.18,8520.37,8610.18,8670.37
189,Union Bank of India,UNIONBANK-EQ,,10753,96.1,85.87,86.83,87.47,88.43,89.07,90.03,90.67
190,United Breweries Ltd.,UBL-EQ,,16713,1611.0,1641.28,1651.82,1665.93,1676.47,1690.58,1701.12,1715.23
191,United Spirits Ltd.,MCDOWELL-N-EQ,,10447,1048.95,1032.88,1040.47,1047.83,1055.42,1062.78,1070.37,1077.73
192,Varun Beverages Ltd.,VBL-EQ,,18921,915.65,883.55,894.3,902.1,912.85,920.65,931.4,939.2
193,Vedanta Ltd,VEDL-EQ,,3063,236.3,233.07,234.88,236.32,238.13,239.57,241.38,242.82
194,Vodafone Idea Ltd.,IDEA-EQ,,14366,11.7,9.75,10.1,10.3,10.65,10.85,11.2,11.4
195,Voltas Ltd.,VOLTAS-EQ,,3718,893.95,880.05,886.45,895.7,902.1,911.35,917.75,927.0
196,Whirpool Of India Ltd.,WHIRLPOOL-EQ,,18011,1640.75,1648.63,1659.32,1670.13,1680.82,1691.63,1702.32,1713.13
197,Wipro Ltd.,WIPRO-EQ,,3787,441.05,424.23,426.77,428.38,430.92,432.53,435.07,436.68
198,Yes Bank Ltd.,YESBANK-EQ,,11915,18.3,17.47,17.88,18.12,18.53,18.77,19.18,19.42
199,Zee Entertainment Enterprises Ltd.,ZEEL-EQ,,3812,274.15,263.77,269.88,273.52,279.63,283.27,289.38,293.02
200,Zomato Ltd.,ZOMATO-EQ,,5097,102.95,96.6,97.8,98.7,99.9,100.8,102.0,102.9
201,Zydus Lifesciences Ltd.,ZYDUSLIFE-EQ,,7929,645.35,608.27,615.28,621.72,628.73,635.17,642.18,648.62
