id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
37,Metals & Mining,HINDZINC-EQ,1424,315.5,566.85,566.25,538,0.9099999999999908,0.1607064017660028,red,"1.0, 0.5, 1.5","normal, hammer",none,none,3444.7,"0.25, 1.5, 1.5","-9.713024282559903, 0.8820675663767877, 0.0","44.73684210526356, 53.12500000000067, 52.38095238095204",44.73684210526356,53.12500000000067,52.38095238095204,-9.713024282559903,"none, none","Bearish_Engulfing, none",0,none,0,0,0,,
38,Chemicals,PIDILITIND-EQ,2664,2554.2,2978.15,2979.75,225,2.390000000000009,0.0802080711469086,green,"0.75, 2.0, 1.5","marubozu, normal",none,none,409.2,"0.75, 2.0, 1.0","9.228962161255138, 3.8614576163057297, 9.06131489747229","65.32258064516134, 60.18518518518584, 70.27027027026827",65.32258064516134,60.18518518518584,70.27027027026827,9.228962161255138,"none, none","none, none",0,none,0,0,0,,
39,Capital Goods,SIEMENS-EQ,3150,4152.0,7087.0,7090.0,7470,10.375,0.1463328631875881,green,"3.0, 1.5, 0.25","hammer, normal",none,Bearish_Engulfing,2890.2,"3.0, 1.5, 0.5","-13.25811001410386, -17.496825172851185, -2.60653324034273","40.31746031745917, 34.035087719296584, 54.03899721448462",40.31746031745917,34.035087719296584,54.03899721448462,-13.25811001410386,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
40,Financial Services,SBILIFE-EQ,21808,1419.85,1435.2,1435.15,295,0.8049999999999955,0.056091697731944,red,"1.5, 1.0, 0.0","hammer, hammer",hammer,none,310.7,"1.0, 1.5, 0.5","-7.664704037904811, -7.316053511705369, -7.316053511705369","36.065573770494126, 36.66666666666844, 36.66666666666843",36.065573770494126,36.66666666666844,36.66666666666843,-7.664704037904811,"hammer, hammer","Bearish_Engulfing, none",0,none,0,0,0,,
41,Oil Gas & Consumable Fuels,IOC-EQ,1624,173.95,160.8,160.7,12316,0.1300000000000068,0.0808960796515288,red,"1.0, 2.0, 1.0","marubozu, tweezer_b",none,Bearish_Engulfing,11383.7,"1.5, 3.0, 1.0","-6.222775357810998, 0.0, 6.215040397762231","46.15384615384548, 54.545454545455485, 66.66666666666666",46.15384615384548,54.545454545455485,66.66666666666666,-6.222775357810998,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
42,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,7658.25,8944.25,8944.5,29,4.200000000000182,0.0469562300855294,red,"1.0, 1.5, 0.5","normal, normal",none,Bearish_Engulfing,101.9,"0.5, 3.0, 3.0","-2.3478115042767778, -2.6273863096406784, 1.452854859798693","67.07317073170633, 66.73511293634397, 78.50241545893444",67.07317073170633,66.73511293634397,78.50241545893444,-2.3478115042767778,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
43,Construction Materials,GRASIM-EQ,1232,2089.75,2379.85,2379.05,275,1.734999999999991,0.0729282696874799,red,"0.75, 0.75, 0.75","shooting_star, hammer",hammer,none,507.7,"0.75, 1.5, 1.0","8.196549042686252, 11.555350127108852, 11.975041492467948","65.72769953051868, 71.0659898477164, 71.7948717948718",65.72769953051868,71.0659898477164,71.7948717948718,8.196549042686252,"none, hammer","shooting_star, none",0,none,0,0,0,,
44,Information Technology,TECHM-EQ,13538,1332.75,1275.55,1275.6,398,0.9600000000000136,0.0752587017873952,green,"1.0, 1.5, 1.0","spn_top, normal",none,none,869.5,"0.5, 0.75, 2.0","-4.703668861713205, -5.095841009761209, -5.095841009761209","15.492957746477792, 14.285714285714288, 14.285714285714285",15.492957746477792,14.285714285714288,14.285714285714285,-4.703668861713205,"none, none","none, none",0,none,0,0,0,,
45,Financial Services,HDFCLIFE-EQ,467,563.35,556.85,556.8,647,0.2500000000000227,0.0448994252873604,red,"0.25, 1.5, 1.0","marubozu, tweezer_b",none,Bearish_Engulfing,1131.9,"0.75, 2.0, 2.0","-9.877873563219618, -8.979078746520607, -6.283662477558756","12.50000000000178, 13.333333333336366, 16.666666666669823",12.50000000000178,13.333333333336366,16.666666666669823,-9.877873563219618,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
46,Fast Moving Consumer Goods,BRITANNIA-EQ,547,5124.5,5082.85,5081.9,294,4.6699999999998,0.0918947637694523,red,"1.5, 1.0, 0.5","hammer, hammer",hammer,none,276.9,"1.5, 1.0, 1.0","-1.869379562763391, 0.0, 1.2786466017500466","53.6885245901625, 55.863539445629264, 57.45614035087663",53.6885245901625,55.863539445629264,57.45614035087663,-1.869379562763391,"hammer, hammer","none, none",0,none,0,0,0,,
